id,email,name,phone,location_name,latitude,longitude,temperature,created_at,updated_at
f5ba3e8b-bd4d-423e-a299-9ddb3ef80d6b,user1@example.com,박철호,010-1330-8696,망원동,37.560118,126.913528,35.7,2025-06-22T08:34:28.996Z,2025-07-23T07:20:28.997Z
f184b796-9f9f-4b91-a888-f49181fcae30,user2@example.com,신예진,010-4976-6098,연남동,37.564662,126.928538,39.1,2025-06-19T07:13:28.997Z,2025-07-23T07:20:28.997Z
fdfea8c6-3c54-4922-bf7f-982cf625b04e,user3@example.com,오승우,010-9863-1969,서교동,37.55748,126.926405,35.2,2025-07-03T14:27:28.997Z,2025-07-23T07:20:28.997Z
dd7c1207-8716-42c2-9858-ec8cfa5b4019,user4@example.com,홍길동,010-9403-3337,망원동,37.554237,126.907456,38.9,2025-06-28T15:16:28.997Z,2025-07-23T07:20:28.997Z
e1e3c3c8-7f38-4807-a780-fe6f8a008007,user5@example.com,정수빈,010-2644-1961,망원동,37.554115,126.914511,35.2,2025-05-25T01:53:28.997Z,2025-07-23T07:20:28.997Z
14480ccb-98fe-49c1-8fcf-ee2bb19aec3f,user6@example.com,김민수,010-4226-5907,망원동,37.560744,126.910022,39.3,2025-07-06T07:45:28.997Z,2025-07-23T07:20:28.997Z
472b3b33-f429-48bd-9cbf-ccf2d1237cc9,user7@example.com,임태호,010-6314-6642,서교동,37.555667,126.925099,36.1,2025-05-27T14:00:28.997Z,2025-07-23T07:20:28.997Z
05700306-5228-4e6f-b82a-d5680ec76fae,user8@example.com,송지훈,010-4274-8594,상암동,37.576605,126.894506,37.7,2025-06-25T01:20:28.997Z,2025-07-23T07:20:28.997Z
a999e984-aa26-45f0-9015-4663446e4c69,user9@example.com,강하늘,010-6801-5073,합정동,37.54976,126.91144,37.5,2025-06-23T17:51:28.997Z,2025-07-23T07:20:28.997Z
6a32c884-2fb6-4ac4-82ed-563ae7b76814,user10@example.com,문채원,010-6079-9835,상암동,37.575455,126.888173,35.3,2025-06-11T06:00:28.997Z,2025-07-23T07:20:28.997Z
